absolute_course_url,subject_name,course_name
https://www.class-central.com/course/coursera-intro-to-tensorflow-11075,Learn Computer Science,Intro to TensorFlow
https://www.class-central.com/course/coursera-serverless-machine-learning-with-tensorflow-on-google-cloud-platform-auf-deutsch-12504,Learn Computer Science,Serverless Machine Learning with Tensorflow on Google Cloud Platform auf Deutsch
https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-containers-and-services-en-espanol-12489,Learn Computer Science,Elastic Cloud Infrastructure: Containers and Services en Español
https://www.class-central.com/course/coursera-razonamiento-artificial-12446,Learn Computer Science,Razonamiento artificial
https://www.class-central.com/course/coursera-enterprise-system-management-and-security-9318,Learn Computer Science,Enterprise System Management and Security 
https://www.class-central.com/course/coursera-windows-server-management-and-security-9320,Learn Computer Science,Windows Server Management and Security
https://www.class-central.com/course/coursera-data-analytics-foundations-for-accountancy-ii-10515,Learn Computer Science,Data Analytics Foundations for Accountancy II
https://www.class-central.com/course/coursera-on-premises-capacity-upgrade-and-monitoring-with-google-cloud-s-apigee-api-platform-10755,Learn Computer Science,On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform
https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-auf-deutsch-11816,Learn Computer Science,Google Cloud Platform Fundamentals: Core Infrastructure auf Deutsch
https://www.class-central.com/course/coursera-palo-alto-networks-cybersecurity-gateway-i-12011,Learn Computer Science,Palo Alto Networks Cybersecurity Gateway I
https://www.class-central.com/course/coursera-networks-friends-money-and-bytes-359,Learn Computer Science,"Networks: Friends, Money, and Bytes"
https://www.class-central.com/course/coursera-quantitative-formal-modeling-and-worst-case-performance-analysis-4864,Learn Computer Science,Quantitative Formal Modeling and Worst-Case Performance Analysis
https://www.class-central.com/course/coursera-a-complexidade-sensivel-um-paralelo-entre-videogames-e-arte-5778,Learn Computer Science,A complexidade sensível: Um paralelo entre videogames e arte
https://www.class-central.com/course/coursera-architecting-smart-iot-devices-6839,Learn Computer Science,Architecting Smart IoT Devices
https://www.class-central.com/course/coursera-shortest-paths-revisited-np-complete-problems-and-what-to-do-about-them-7351,Learn Computer Science,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them"
https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-for-aws-professionals-8614,Learn Computer Science,Google Cloud Platform Fundamentals for AWS Professionals
https://www.class-central.com/course/coursera-essential-cloud-infrastructure-foundation-8760,Learn Computer Science,Essential Cloud Infrastructure: Foundation
https://www.class-central.com/course/coursera-linux-server-management-and-security-9319,Learn Computer Science,Linux Server Management and Security
https://www.class-central.com/course/coursera-planning-auditing-and-maintaining-enterprise-systems-9321,Learn Computer Science,"Planning, Auditing and Maintaining Enterprise Systems"
https://www.class-central.com/course/coursera-securing-and-integrating-components-of-your-application-9802,Learn Computer Science,Securing and Integrating Components of your Application
https://www.class-central.com/course/coursera-mathematics-for-machine-learning-linear-algebra-10453,Learn Computer Science,Mathematics for Machine Learning: Linear Algebra
https://www.class-central.com/course/coursera-systems-and-application-security-10338,Learn Computer Science,Systems and Application Security
https://www.class-central.com/course/coursera-identifying-monitoring-and-analyzing-risk-and-incident-response-and-recovery-10340,Learn Computer Science,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery	"
https://www.class-central.com/course/coursera-it-security-defense-against-the-digital-dark-arts-10218,Learn Computer Science, IT Security: Defense against the digital dark arts 
https://www.class-central.com/course/coursera-ibm-cloud-private-deploying-microservices-with-kubernetes-10751,Learn Computer Science,IBM Cloud Private: Deploying Microservices with Kubernetes
https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-em-portugues-brasileiro-11759,Learn Computer Science,Google Cloud Platform Fundamentals: Core Infrastructure em Português Brasileiro
https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-en-espanol-11761,Learn Computer Science,Google Cloud Platform Fundamentals: Core Infrastructure en Español
https://www.class-central.com/course/coursera-palo-alto-networks-cybersecurity-gateway-ii-12012,Learn Computer Science,Palo Alto Networks Cybersecurity Gateway II
https://www.class-central.com/course/coursera-recommendation-systems-with-tensorflow-on-gcp-12120,Learn Computer Science,Recommendation Systems with TensorFlow on GCP
https://www.class-central.com/course/coursera-programming-with-cloud-iot-platforms-12536,Learn Computer Science,Programming with Cloud IoT Platforms
https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-scaling-and-automation-en-espanol-12492,Learn Computer Science,Elastic Cloud Infrastructure: Scaling and Automation en Español
https://www.class-central.com/course/coursera-linux-for-developers-12598,Learn Computer Science,Linux for Developers
https://www.class-central.com/course/coursera-two-speed-it-how-companies-can-surf-the-digital-wave-a-bcg-perspective-2946,Learn Computer Science,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective"
https://www.class-central.com/course/coursera-internet-of-things-sensing-and-actuation-from-devices-4182,Learn Computer Science,Internet of Things: Sensing and Actuation From Devices
https://www.class-central.com/course/coursera-internet-of-things-how-did-we-get-here-4276,Learn Computer Science,Internet of Things: How did we get here?
https://www.class-central.com/course/coursera-electrones-en-accion-electronica-y-arduinos-para-tus-propios-inventos-4726,Learn Computer Science,Electrones en Acción: Electrónica y Arduinos para tus propios Inventos
https://www.class-central.com/course/coursera-recommender-systems-capstone-6936,Learn Computer Science,Recommender Systems Capstone
https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-scaling-and-automation-8761,Learn Computer Science,Elastic Cloud Infrastructure: Scaling and Automation
https://www.class-central.com/course/coursera-getting-started-with-application-development-9803,Learn Computer Science,Getting Started With Application Development
https://www.class-central.com/course/coursera-system-administration-and-it-infrastructure-services-10219,Learn Computer Science, System Administration and IT Infrastructure Services
https://www.class-central.com/course/coursera-operating-systems-and-you-becoming-a-power-user-10221,Learn Computer Science,Operating Systems and You: Becoming a Power User
https://www.class-central.com/course/coursera-networks-and-communications-security-10339,Learn Computer Science,Networks and Communications Security
https://www.class-central.com/course/coursera-palo-alto-networks-cybersecurity-essentials-i-12006,Learn Computer Science,Palo Alto Networks Cybersecurity Essentials I
https://www.class-central.com/course/coursera-blockchain-foundations-and-use-cases-12020,Learn Computer Science,Blockchain: Foundations and Use Cases
https://www.class-central.com/course/coursera-essential-cloud-infrastructure-foundation-en-francais-12570,Learn Computer Science,Essential Cloud Infrastructure: Foundation en Français
https://www.class-central.com/course/coursera-modeling-and-debugging-embedded-systems-12621,Learn Computer Science,Modeling and Debugging Embedded Systems
https://www.class-central.com/course/coursera-image-understanding-with-tensorflow-on-gcp-12121,Learn Computer Science,Image Understanding with TensorFlow on GCP
https://www.class-central.com/course/coursera-sequence-models-for-time-series-and-natural-language-processing-12176,Learn Computer Science,Sequence Models for Time Series and Natural Language Processing
https://www.class-central.com/course/coursera-how-computers-work-12188,Learn Computer Science,How Computers Work
https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-scaling-and-automation-auf-deutsch-12486,Learn Computer Science,Elastic Cloud Infrastructure: Scaling and Automation auf Deutsch
https://www.class-central.com/course/coursera-cloud-computing-concepts-part-2-2942,Learn Computer Science,Cloud Computing Concepts: Part 2
https://www.class-central.com/course/coursera-----3654,Learn Computer Science,计算机系统基础（一） ：程序的表示、转换与链接
